strain_id,strain_name,genus,species,taxonomy_confidence,source,is_spore_former,isolation_source,host_plant,region,genome_accession,notes
PBM001,Azospirillum isscasi BD-101,Azospirillum,isscasi,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,GCF_030849505.1,extracted from bacdive dataset dsmz id 175857; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_isscasi__GCF_030849505.1; n_proteins=5816
PBM043,Pseudomonas aeruginosa BD-143,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 12758; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM044,Pseudomonas sp. BD-144,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 12963; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM045,Pseudomonas sp. BD-145,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 12953; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM046,Pseudomonas sp. BD-146,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 12952; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM047,Pseudomonas sp. BD-147,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 12943; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM048,Pseudomonas savastanoi BD-148,Pseudomonas,savastanoi,0.95,BacDive-derived plant-associated strain table,False,plant_associated,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 12931; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM049,Pseudomonas savastanoi BD-149,Pseudomonas,savastanoi,0.95,BacDive-derived plant-associated strain table,False,plant_associated,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 12930; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM050,Pseudomonas savastanoi BD-150,Pseudomonas,savastanoi,0.95,BacDive-derived plant-associated strain table,False,plant_associated,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 12929; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM051,Pseudomonas savastanoi BD-151,Pseudomonas,savastanoi,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 12928; formulation=foliar spray formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM052,Pseudomonas putida BD-152,Pseudomonas,putida,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 12911; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM053,Pseudomonas putida BD-153,Pseudomonas,putida,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 12909; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM054,Pseudomonas putida BD-154,Pseudomonas,putida,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 12904; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM055,Pseudomonas putida BD-155,Pseudomonas,putida,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,barley,unknown,not_matched,extracted from bacdive dataset dsmz id 12899; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM056,Pseudomonas putida BD-156,Pseudomonas,putida,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,potato,unknown,not_matched,extracted from bacdive dataset dsmz id 12896; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM057,Pseudomonas sp. BD-157,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,soil,tomato,unknown,not_matched,extracted from bacdive dataset dsmz id 12879; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM058,Pseudomonas putida BD-158,Pseudomonas,putida,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 12871; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM059,Pseudomonas oleovorans BD-159,Pseudomonas,oleovorans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 12868; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM060,Pseudomonas oleovorans BD-160,Pseudomonas,oleovorans,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 12867; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM061,Pseudomonas mendocina BD-161,Pseudomonas,mendocina,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 12866; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM062,Pseudomonas grimontii BD-162,Pseudomonas,grimontii,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,potato,unknown,not_matched,extracted from bacdive dataset dsmz id 12865; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM063,Pseudomonas rhodesiae BD-163,Pseudomonas,rhodesiae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,pea,unknown,not_matched,extracted from bacdive dataset dsmz id 12862; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM064,Pseudomonas fluorescens BD-164,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,endosphere,tomato,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 12858; formulation=seed dressing formulation candidate; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM065,Pseudomonas fluorescens BD-165,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,soil,tomato,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 12854; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM066,Pseudomonas brenneri BD-166,Pseudomonas,brenneri,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_007858285.1,extracted from bacdive dataset dsmz id 13087; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_brenneri__GCF_007858285.1; n_proteins=5406
PBM067,Pseudomonas plecoglossicida BD-167,Pseudomonas,plecoglossicida,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13086; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM068,Pseudomonas congelans BD-168,Pseudomonas,congelans,0.95,BacDive-derived plant-associated strain table,False,endosphere,soybean,unknown,GCF_900103225.1,extracted from bacdive dataset dsmz id 13085; formulation=seed dressing formulation candidate; matched_prodigal_genome=pseudomonas_congelans__GCF_900103225.1; n_proteins=4989
PBM069,Pseudomonas trivialis BD-169,Pseudomonas,trivialis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 13084; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM070,Pseudomonas poae BD-170,Pseudomonas,poae,0.95,BacDive-derived plant-associated strain table,False,endosphere,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 13083; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM071,Pseudomonas nitroreducens BD-171,Pseudomonas,nitroreducens,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13080; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM072,Pseudomonas nitroreducens BD-172,Pseudomonas,nitroreducens,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 13077; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM073,Pseudomonas nitroreducens BD-173,Pseudomonas,nitroreducens,0.95,BacDive-derived plant-associated strain table,False,endosphere,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 13076; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM074,Pseudomonas thermotolerans BD-174,Pseudomonas,thermotolerans,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 13075; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM075,Pseudomonas monteilii BD-175,Pseudomonas,monteilii,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 13074; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM076,Pseudomonas kilonensis BD-176,Pseudomonas,kilonensis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 13070; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM077,Pseudomonas brassicacearum BD-177,Pseudomonas,brassicacearum,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,common_bean,unknown,GCF_008370715.1,extracted from bacdive dataset dsmz id 13068; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_brassicacearum__GCF_008370715.1; n_proteins=5918
PBM078,Pseudomonas thivervalensis BD-178,Pseudomonas,thivervalensis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13066; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM079,Pseudomonas frederiksbergensis BD-179,Pseudomonas,frederiksbergensis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13063; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM080,Pseudomonas graminis BD-180,Pseudomonas,graminis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 13062; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM081,Pseudomonas agarici BD-181,Pseudomonas,agarici,0.95,BacDive-derived plant-associated strain table,False,endosphere,tomato,unknown,GCF_001543125.1,extracted from bacdive dataset dsmz id 13059; formulation=seed dressing formulation candidate; matched_prodigal_genome=pseudomonas_agarici__GCF_001543125.1; n_proteins=4847
PBM082,Pseudomonas veronii BD-182,Pseudomonas,veronii,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,barley,unknown,not_matched,extracted from bacdive dataset dsmz id 13055; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM083,Pseudomonas tolaasii BD-183,Pseudomonas,tolaasii,0.95,BacDive-derived plant-associated strain table,False,endosphere,potato,unknown,not_matched,extracted from bacdive dataset dsmz id 13053; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM084,Pseudomonas amygdali BD-184,Pseudomonas,amygdali,0.95,BacDive-derived plant-associated strain table,False,soil,tomato,unknown,GCF_000145945.2,extracted from bacdive dataset dsmz id 13051; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_amygdali__GCF_000145945.2; n_proteins=5468
PBM085,Pseudomonas asplenii BD-185,Pseudomonas,asplenii,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,rice,unknown,GCF_900105475.1,extracted from bacdive dataset dsmz id 13049; formulation=foliar spray formulation candidate; matched_prodigal_genome=pseudomonas_asplenii__GCF_900105475.1; n_proteins=5652
PBM086,Pseudomonas oryzihabitans BD-186,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13048; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM087,Pseudomonas corrugata BD-187,Pseudomonas,corrugata,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_050920615.1,extracted from bacdive dataset dsmz id 13044; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_corrugata__GCF_050920615.1; n_proteins=5753
PBM088,Pseudomonas sp. BD-188,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 13043; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM089,Pseudomonas syringae BD-189,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,tomato,unknown,not_matched,extracted from bacdive dataset dsmz id 13040; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM090,Pseudomonas syringae BD-190,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 13032; formulation=foliar spray formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM091,Pseudomonas syringae BD-191,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 13030; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM092,Pseudomonas syringae BD-192,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 13028; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM093,Pseudomonas syringae BD-193,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13027; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM094,Pseudomonas syringae BD-194,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13026; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
