plant species	bacterial strain	condition	experimental type	effect	mechanism	evidence strength	article DOI
Картофель (Solanum tuberosum)	Potato common scab	pathogen	field	Growth promotion confirmed	not specified	FIELD (Score: 5/5)	10.3389/fmicb.2023.1295107
Табак (Nicotiana tabacum)	Native core microbiomes	normal growth	genome-only	Growth promotion confirmed	IAA	GENOME-ONLY (Score: 1/5)	10.1038/s41467-024-50685-3
Табак (Nicotiana tabacum)	Soil sickness a	pathogen	pot	Growth promotion confirmed	not specified	POT (Score: 3/5)	10.1038/s41598-024-61291-0
Табак (Nicotiana tabacum)	Bladder cancer arises	growth promotion	in vitro	Growth promotion confirmed	not specified	IN VITRO (Score: 2/5)	10.7417/CT.2017.1984
Табак (Nicotiana tabacum)	Agricultural pest infestation	growth promotion	genome-only	Growth promotion confirmed	not specified	GENOME-ONLY (Score: 1/5)	10.1093/jee/toaa211
Подсолнечник (Helianthus annuus)	Phenolic compounds in	growth promotion	in vitro	Growth promotion confirmed	not specified	IN VITRO (Score: 2/5)	10.1016/j.crfs.2021.09.007
Подсолнечник (Helianthus annuus)	Functionalized polyhedral carboranes	pathogen	in vitro	Growth promotion confirmed	not specified	IN VITRO (Score: 2/5)	10.1007/BF01361661
Подсолнечник (Helianthus annuus)	Sustainable alternatives are	salinity	greenhouse	Growth promotion confirmed	IAA, ACC, phosphate solubilization	GREENHOUSE (Score: 4/5)	10.3934/microbiol.2024041
Подсолнечник (Helianthus annuus)	Pseudomonas putida G7	pathogen	greenhouse	Growth promotion confirmed	not specified	GREENHOUSE (Score: 4/5)	10.1016/j.scitotenv.2023.161600
Хлопок (Gossypium)	Although their use	pathogen	in vitro	Growth promotion confirmed	not specified	IN VITRO (Score: 2/5)	10.3390/foods12020343
Хлопок (Gossypium)	Bee products are	pathogen	in vitro	Growth promotion confirmed	not specified	IN VITRO (Score: 2/5)	10.3390/ijms25158034
Хлопок (Gossypium)	Agricultural pest infestation	growth promotion	genome-only	Growth promotion confirmed	not specified	GENOME-ONLY (Score: 1/5)	10.1093/jee/toaa211
Хлопок (Gossypium)	Cotton is highly	normal growth	greenhouse	Growth promotion confirmed	not specified	GREENHOUSE (Score: 4/5)	10.3390/microorganisms12071474
